measurement_id,molecule_id,standardized_inchikey,endpoint_name,functional_mode,functional_mode_source,standard_type,standard_relation,standard_value,standard_units,pactivity_value,pactivity_recalculated,pactivity_absolute_difference,assay_chembl_id,target_chembl_id,target_gene,target_organism,target_type,target_confidence,assay_type,bao_format,cell_chembl_id,document_chembl_id,doi,pmid,document_type,source_retrieved_at,data_validity_comment,activity_comment,review_status,admission_reasons,development_partition
3219259,CHEMBL1076503,DJXXCPVDTMEZQZ-UHFFFAOYSA-N,pFunc_inhibition,antagonist,assay_text_rule,IC50,=,710.0,nM,6.15,6.148742,0.001258,CHEMBL1105840,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL1154258,10.1016/j.bmcl.2009.08.040,19733067,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
3219258,CHEMBL1076504,CDUCLUZYLNLKKW-UHFFFAOYSA-N,pFunc_inhibition,antagonist,assay_text_rule,IC50,=,2610.0,nM,5.58,5.583359,0.003359,CHEMBL1105840,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL1154258,10.1016/j.bmcl.2009.08.040,19733067,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
3219224,CHEMBL1077749,OUKKULWZHJJUCO-UHFFFAOYSA-N,pFunc_inhibition,antagonist,assay_text_rule,IC50,=,7847.0,nM,5.11,5.105296,0.004704,CHEMBL1105840,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL1154258,10.1016/j.bmcl.2009.08.040,19733067,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
3219233,CHEMBL1077902,SFYCKRAOKBZQQD-UHFFFAOYSA-N,pFunc_inhibition,antagonist,assay_text_rule,IC50,=,116.0,nM,6.94,6.935542,0.004458,CHEMBL1105840,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL1154258,10.1016/j.bmcl.2009.08.040,19733067,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
3219234,CHEMBL1078001,RMNYIORRJFTYKB-UHFFFAOYSA-N,pFunc_inhibition,antagonist,assay_text_rule,IC50,=,161.0,nM,6.79,6.793174,0.003174,CHEMBL1105840,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL1154258,10.1016/j.bmcl.2009.08.040,19733067,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
3219235,CHEMBL1078085,WBCAKXYDAUCZDG-UHFFFAOYSA-N,pFunc_inhibition,antagonist,assay_text_rule,IC50,=,351.0,nM,6.46,6.454693,0.005307,CHEMBL1105840,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL1154258,10.1016/j.bmcl.2009.08.040,19733067,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
3219246,CHEMBL1079141,NJLNJHCKQVRQDL-UHFFFAOYSA-N,pFunc_inhibition,antagonist,assay_text_rule,IC50,=,1619.0,nM,5.79,5.790753,0.000753,CHEMBL1105840,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL1154258,10.1016/j.bmcl.2009.08.040,19733067,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
3219260,CHEMBL1082063,JTMNJBCPWGVLEV-UHFFFAOYSA-N,pFunc_inhibition,antagonist,assay_text_rule,IC50,=,3093.0,nM,5.51,5.509620,0.000380,CHEMBL1105840,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL1154258,10.1016/j.bmcl.2009.08.040,19733067,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
12084382,CHEMBL1087185,WEDKBAZTBXZYBK-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,8.2,nM,8.09,8.086186,0.003814,CHEMBL2167687,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000019,,CHEMBL2163234,10.1021/jm201640m,22239465,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,development
3279087,CHEMBL1087185,WEDKBAZTBXZYBK-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,8.2,nM,8.09,8.086186,0.003814,CHEMBL1116482,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,8,F,BAO_0000019,,CHEMBL1157881,10.1016/j.bmcl.2010.03.024,20338760,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,development
12084390,CHEMBL1087189,NZMLWAPHUUXPMQ-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,4.1,nM,8.39,8.387216,0.002784,CHEMBL2167687,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000019,,CHEMBL2163234,10.1021/jm201640m,22239465,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,development
14645591,CHEMBL1087189,NZMLWAPHUUXPMQ-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,4.1,nM,8.39,8.387216,0.002784,CHEMBL3267347,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000357,,CHEMBL3259781,10.1021/jm4011669,24164628,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,development
3243703,CHEMBL1092270,QHFYRCHXHNWYCV-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,0.12,nM,9.92,9.920819,0.000819,CHEMBL1105450,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3307715,CHEMBL1156165,10.1016/j.bmc.2010.02.048,20303771,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
3243756,CHEMBL1092270,QHFYRCHXHNWYCV-UHFFFAOYSA-N,,antagonist,assay_text_rule,Activity,=,0.11,pmol/ml,,,,CHEMBL1105453,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307715,CHEMBL1156165,10.1016/j.bmc.2010.02.048,20303771,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted|non_nm_units|pchembl_missing_or_inconsistent,development
12084381,CHEMBL1095488,BCDASHXLAMCATI-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,6.5,nM,8.19,8.187087,0.002913,CHEMBL2167687,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000019,,CHEMBL2163234,10.1021/jm201640m,22239465,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,development
