molecule_id,standardized_inchikey,endpoint_name,functional_mode,aggregated_pactivity,measurement_count,assay_count,primary_document_count,interassay_sd,interassay_mad,minimum_pactivity,maximum_pactivity,high_disagreement_flag,development_partition,external_eligibility,review_status
CHEMBL1076503,DJXXCPVDTMEZQZ-UHFFFAOYSA-N,pFunc_inhibition,antagonist,6.150000,1,1,1,,0.000000,6.150000,6.150000,False,development,False,admitted_exploratory
CHEMBL1076504,CDUCLUZYLNLKKW-UHFFFAOYSA-N,pFunc_inhibition,antagonist,5.580000,1,1,1,,0.000000,5.580000,5.580000,False,development,False,admitted_exploratory
CHEMBL1077749,OUKKULWZHJJUCO-UHFFFAOYSA-N,pFunc_inhibition,antagonist,5.110000,1,1,1,,0.000000,5.110000,5.110000,False,development,False,admitted_exploratory
CHEMBL1077902,SFYCKRAOKBZQQD-UHFFFAOYSA-N,pFunc_inhibition,antagonist,6.940000,1,1,1,,0.000000,6.940000,6.940000,False,development,False,admitted_exploratory
CHEMBL1078001,RMNYIORRJFTYKB-UHFFFAOYSA-N,pFunc_inhibition,antagonist,6.790000,1,1,1,,0.000000,6.790000,6.790000,False,development,False,admitted_exploratory
CHEMBL1078085,WBCAKXYDAUCZDG-UHFFFAOYSA-N,pFunc_inhibition,antagonist,6.460000,1,1,1,,0.000000,6.460000,6.460000,False,development,False,admitted_exploratory
CHEMBL1079141,NJLNJHCKQVRQDL-UHFFFAOYSA-N,pFunc_inhibition,antagonist,5.790000,1,1,1,,0.000000,5.790000,5.790000,False,development,False,admitted_exploratory
CHEMBL1082063,JTMNJBCPWGVLEV-UHFFFAOYSA-N,pFunc_inhibition,antagonist,5.510000,1,1,1,,0.000000,5.510000,5.510000,False,development,False,admitted_exploratory
CHEMBL1092270,QHFYRCHXHNWYCV-UHFFFAOYSA-N,pBind_Ki,,9.920000,1,1,1,,0.000000,9.920000,9.920000,False,development,False,admitted_exploratory
CHEMBL1095488,BCDASHXLAMCATI-UHFFFAOYSA-N,pBind_Ki,antagonist,8.120000,1,1,1,,0.000000,8.120000,8.120000,False,development,False,admitted_exploratory
CHEMBL1097859,KYSFTXJTWSDCSC-UHFFFAOYSA-N,pBind_Ki,,5.600000,1,1,1,,0.000000,5.600000,5.600000,False,development,False,admitted_exploratory
CHEMBL119709,HUJXGQILHAUCCV-MOROJQBDSA-N,pBind_Ki,,5.540000,13,13,13,0.736075,0.060000,5.210000,7.250000,False,development,False,admitted_exploratory
CHEMBL119709,HUJXGQILHAUCCV-MOROJQBDSA-N,pBind_Ki,antagonist,5.540000,1,1,1,,0.000000,5.540000,5.540000,False,development,False,admitted_exploratory
CHEMBL122396,BCWROVBBUOSFGD-UHFFFAOYSA-N,pBind_Ki,,6.670000,2,2,2,0.000000,0.000000,6.670000,6.670000,False,locked_holdout,False,admitted_exploratory
CHEMBL136689,AEULVFLPCJOBCE-UHFFFAOYSA-N,pBind_Ki,,8.390000,6,6,5,1.065259,0.215000,7.960000,10.320000,True,development,False,admitted_exploratory
CHEMBL1561896,PVXSYGKEPLNOTR-UHFFFAOYSA-N,pBind_Ki,,7.720000,1,1,1,,0.000000,7.720000,7.720000,False,development,False,admitted_exploratory
CHEMBL1671936,KEUJAGGJGBWRFC-UHFFFAOYSA-N,pBind_Ki,,8.230000,1,1,1,,0.000000,8.230000,8.230000,False,development,False,admitted_exploratory
CHEMBL17127,UTLPKQYUXOEJIL-UHFFFAOYSA-N,pBind_Ki,,8.960000,11,11,10,0.240420,0.240000,8.490000,9.220000,False,development,False,admitted_exploratory
CHEMBL17127,UTLPKQYUXOEJIL-UHFFFAOYSA-N,pBind_Ki,antagonist,8.620000,3,3,3,0.296142,0.250000,8.370000,8.960000,False,development,False,admitted_exploratory
CHEMBL17127,UTLPKQYUXOEJIL-UHFFFAOYSA-N,pFunc_inhibition,antagonist,7.870000,2,2,2,0.070711,0.050000,7.820000,7.920000,False,development,False,admitted_exploratory
CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,,6.800000,29,29,28,0.233432,0.220000,6.200000,7.250000,False,development,False,admitted_exploratory
CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,antagonist,6.800000,2,2,2,0.000000,0.000000,6.800000,6.800000,False,development,False,admitted_exploratory
CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pFunc_inhibition,antagonist,6.880000,1,1,1,,0.000000,6.880000,6.880000,False,development,False,admitted_exploratory
CHEMBL1950653,BWHLYEQTTHPURZ-QLYQVZKDSA-N,pBind_Ki,,6.800000,1,1,1,,0.000000,6.800000,6.800000,False,development,False,admitted_exploratory
CHEMBL1950655,WPQKCNOVLXDKLF-SNPPRPGFSA-N,pBind_Ki,,7.060000,1,1,1,,0.000000,7.060000,7.060000,False,development,False,admitted_exploratory
CHEMBL1950665,XDBPGTOUWLQGCG-RKMGSRDVSA-N,pBind_Ki,,6.960000,1,1,1,,0.000000,6.960000,6.960000,False,development,False,admitted_exploratory
CHEMBL197669,CYYQMAWUIRPCNW-UHFFFAOYSA-N,pBind_Ki,,8.180000,3,3,3,0.121244,0.000000,7.970000,8.180000,False,development,False,admitted_exploratory
CHEMBL197669,CYYQMAWUIRPCNW-UHFFFAOYSA-N,pFunc_inhibition,antagonist,6.370000,1,1,1,,0.000000,6.370000,6.370000,False,development,False,admitted_exploratory
CHEMBL1990267,HHMZURGWXAWJGC-UHFFFAOYSA-N,pBind_Ki,,7.100000,2,2,2,0.000000,0.000000,7.100000,7.100000,False,development,False,admitted_exploratory
CHEMBL199446,OTTHALQEWXGENA-UHFFFAOYSA-N,pBind_Ki,,7.190000,1,1,1,,0.000000,7.190000,7.190000,False,locked_holdout,False,admitted_exploratory
CHEMBL2024116,NEYZTILMBRSITP-UHFFFAOYSA-N,pBind_Ki,,7.810000,1,1,1,,0.000000,7.810000,7.810000,False,development,False,admitted_exploratory
CHEMBL2024116,NEYZTILMBRSITP-UHFFFAOYSA-N,pBind_Ki,antagonist,8.770000,1,1,1,,0.000000,8.770000,8.770000,False,development,False,admitted_exploratory
CHEMBL2024116,NEYZTILMBRSITP-UHFFFAOYSA-N,pFunc_inhibition,antagonist,7.970000,2,2,1,1.598061,1.130000,6.840000,9.100000,True,development,False,admitted_exploratory
CHEMBL2042059,LUFDYZFYLCODSE-UHFFFAOYSA-N,pBind_Ki,,6.400000,1,1,1,,0.000000,6.400000,6.400000,False,locked_holdout,False,admitted_exploratory
CHEMBL2042062,JNCOYVVDNPCLKB-UHFFFAOYSA-N,pBind_Ki,,6.400000,1,1,1,,0.000000,6.400000,6.400000,False,locked_holdout,False,admitted_exploratory
CHEMBL2042073,FZDOJZCUDKGLGL-UHFFFAOYSA-N,pBind_Ki,,6.900000,1,1,1,,0.000000,6.900000,6.900000,False,development,False,admitted_exploratory
CHEMBL2042081,VLBFZMVIQCLDRL-UHFFFAOYSA-N,pBind_Ki,,6.200000,1,1,1,,0.000000,6.200000,6.200000,False,development,False,admitted_exploratory
CHEMBL2042301,TXMBOCGCZJDFNZ-ACIRYHQQSA-N,pFunc_agonism,agonist,7.350000,1,1,1,,0.000000,7.350000,7.350000,False,locked_holdout,False,admitted_exploratory
CHEMBL2042303,SQCZJYTXAWXOND-RKMGSRDVSA-N,pFunc_agonism,agonist,8.180000,1,1,1,,0.000000,8.180000,8.180000,False,development,False,admitted_exploratory
