chembl_id,molecule_name,curation_batch,proposed_class,ai_recommendation,recommended_evidence_tier,recommendation_confidence,functional_activity_rows,qualifying_activity_rows,qualifying_assays,primary_source_documents,warning_count,warnings,human_review_required,training_eligible
CHEMBL113142,ZM-241385,1,antagonist,provisional_accept_antagonist,tier_1,high,9,9,7,5,0,,True,False
CHEMBL477,ADENOSINE,1,agonist,provisional_accept_agonist,tier_1,high,5,5,5,2,0,,True,False
CHEMBL4297184,CIFORADENANT,1,antagonist,provisional_accept_antagonist,tier_1,high,8,8,8,3,0,,True,False
CHEMBL5203469,CHEMBL5203469,1,antagonist,provisional_accept_antagonist,tier_1,high,5,5,5,2,0,,True,False
CHEMBL4104819,CHEMBL4104819,1,agonist,provisional_accept_agonist,tier_1,high,4,4,4,2,0,,True,False
CHEMBL3414940,CHEMBL3414940,1,agonist,provisional_accept_agonist,tier_1,high,4,4,3,2,0,,True,False
CHEMBL3414941,CHEMBL3414941,1,agonist,provisional_accept_agonist,tier_1,high,4,4,3,2,0,,True,False
CHEMBL186113,GW-328267,1,agonist,needs_primary_source_review,unresolved,low,3,3,3,0,1,qualifying assay evidence is linked only to review/perspective-risk publications,True,False
CHEMBL1087189,CHEMBL1087189,1,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL1095488,CHEMBL1095488,1,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL17127,SCH-58261,1,antagonist,provisional_accept_antagonist,tier_1,high,2,2,2,2,0,,True,False
CHEMBL197669,ST1535,1,antagonist,provisional_accept_antagonist,tier_1,high,2,2,2,2,0,,True,False
CHEMBL3222055,CHEMBL3222055,1,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL3222061,CHEMBL3222061,1,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL3222062,CHEMBL3222062,1,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL3317574,CHEMBL3317574,1,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL4064795,CHEMBL4064795,1,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL458242,CHEMBL458242,1,antagonist,provisional_accept_antagonist,tier_1,high,2,2,2,2,0,,True,False
CHEMBL4849795,CHEMBL4849795,1,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL4063841,CHEMBL4063841,2,agonist,provisional_accept_agonist,tier_1,moderate,3,3,3,1,0,,True,False
CHEMBL5090017,CHEMBL5090017,2,antagonist,provisional_accept_antagonist,tier_1,moderate,4,4,4,1,0,,True,False
CHEMBL4072009,CHEMBL4072009,2,agonist,provisional_accept_agonist,tier_1,moderate,3,3,3,1,0,,True,False
CHEMBL5562893,CHEMBL5562893,2,antagonist,provisional_accept_antagonist,tier_1,moderate,4,4,4,1,0,,True,False
CHEMBL5397080,CHEMBL5397080,2,antagonist,provisional_accept_antagonist,tier_1,moderate,3,3,3,1,0,,True,False
CHEMBL5439885,CHEMBL5439885,2,antagonist,provisional_accept_antagonist,tier_1,moderate,3,3,3,1,0,,True,False
CHEMBL4075186,CHEMBL4075186,2,agonist,provisional_accept_agonist,tier_1,moderate,3,3,3,1,0,,True,False
CHEMBL5619355,CHEMBL5619355,2,antagonist,provisional_accept_antagonist,tier_1,moderate,3,3,3,1,0,,True,False
CHEMBL601413,CHEMBL601413,2,antagonist,provisional_accept_antagonist,tier_1,moderate,3,3,3,1,0,,True,False
CHEMBL4076495,CHEMBL4076495,2,agonist,provisional_accept_agonist,tier_1,moderate,3,3,3,1,0,,True,False
CHEMBL431770,ISTRADEFYLLINE,2,antagonist,provisional_accept_antagonist,tier_1,moderate,3,3,2,1,0,,True,False
CHEMBL2024116,CHEMBL2024116,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL2382434,CHEMBL2382434,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL4078771,CHEMBL4078771,2,agonist,provisional_accept_agonist,tier_1,moderate,3,3,3,1,0,,True,False
CHEMBL3827859,CHEMBL3827859,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL3904408,CHEMBL3904408,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL4081224,CHEMBL4081224,2,agonist,provisional_accept_agonist,tier_1,moderate,3,3,3,1,0,,True,False
CHEMBL4125975,CHEMBL4125975,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL4126427,CHEMBL4126427,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL4086624,CHEMBL4086624,2,agonist,provisional_accept_agonist,tier_1,moderate,3,3,3,1,0,,True,False
CHEMBL4127213,CHEMBL4127213,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL5407903,CHEMBL5407903,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL5410497,CHEMBL5410497,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL4101850,CHEMBL4101850,2,agonist,provisional_accept_agonist,tier_1,moderate,3,3,3,1,0,,True,False
CHEMBL5425820,CHEMBL5425820,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL5556919,CHEMBL5556919,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL2070507,CHEMBL2070507,2,agonist,provisional_accept_agonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL555958,CHEMBL555958,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL5561038,CHEMBL5561038,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL5619272,CHEMBL5619272,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL2070508,CHEMBL2070508,2,agonist,provisional_accept_agonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL5619520,CHEMBL5619520,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL564084,CHEMBL564084,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL3416801,CHEMBL3416801,2,agonist,provisional_accept_agonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL600794,CHEMBL600794,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL600819,CHEMBL600819,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL3416805,CHEMBL3416805,2,agonist,provisional_accept_agonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL136689,CHEMBL136689,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,1,1,0,,True,False
CHEMBL2381765,CHEMBL2381765,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,1,1,0,,True,False
CHEMBL4159215,CHEMBL4159215,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,1,1,0,,True,False
CHEMBL3740939,CHEMBL3740939,2,agonist,provisional_accept_agonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL4167557,CHEMBL4167557,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,1,1,0,,True,False
CHEMBL506250,CHEMBL506250,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,1,1,0,,True,False
CHEMBL3741393,CHEMBL3741393,2,agonist,provisional_accept_agonist,tier_1,moderate,2,2,2,1,0,,True,False
CHEMBL5073669,CHEMBL5073669,2,antagonist,provisional_accept_antagonist,tier_1,moderate,2,2,1,1,0,,True,False
