chembl_id,molecule_name,proposed_class,evidence_strength,functional_activity_rows,unique_assays,unique_documents,representative_assay,representative_document,representative_readout,representative_description,standardized_smiles,standardized_inchikey,generic_scaffold,passes_prospective_property_filters,review_notes,curation_batch,batch_priority,reviewer_1,decision_1,reviewer_2,decision_2,adjudicator,final_decision
CHEMBL113142,ZM-241385,antagonist,high,9,7,5,CHEMBL5616314,CHEMBL5614411,EC50,Antagonist activity at human Adenosine receptor A2a transfected in HEK293 cells co-expressing CRE-luciferase plasmid assessed as reduction in CRE promoter activity by measuring effective concentration incubated for 18 hrs by luciferase based CRE reporter assay,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,PWTBZOIUWZOPFT-UHFFFAOYSA-N,C1CCC(CCCC2CCC3CC(C4CCCC4)CC3C2)CC1,True,,1,1,,,,,,
CHEMBL477,ADENOSINE,agonist,high,5,5,4,CHEMBL5099262,CHEMBL5096218,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO-K1 cells assessed as inhibition of forskolin-induced cAMP accumulation incubated for 30 mins by LANCE ultra assay,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C1CCC2C(C1)CCC2C1CCCC1,True,,1,2,,,,,,
CHEMBL4297184,CIFORADENANT,antagonist,high,8,8,3,CHEMBL4701023,CHEMBL4699449,IC50,Antagonist activity at human adenosine 2A receptor expressed in HEK293 cells assessed as inhibition of NECA-induced cAMP by immunoassay,Cc1ccc(-c2nc(N)nc3c2nnn3Cc2cccc(CO[C@H]3CCOC3)n2)o1,KURQKNMKCGYWRJ-HNNXBMFYSA-N,C1CCC(CCC2CCCC(CC3CCC4C(C5CCCC5)CCCC34)C2)C1,True,,1,3,,,,,,
CHEMBL5203469,CHEMBL5203469,antagonist,high,5,5,2,CHEMBL5130200,CHEMBL5126612,EC50,Antagonist activity at wild type human A2AAR expressed in CHO cells assessed as inhibition of CGS21680-induced cAMP accumulation preincubated for 20 mins followed by CGS21680 addition and measured after 20 mins by by alpha screen assay,CCCCC#Cc1nc(N)c2nc(-c3cccs3)n([C@@H]3OC[C@@H](O)[C@H]3O)c2n1,MUHXGASCCALSAJ-PRIMNGNOSA-N,C1CCC2C(C1)CC(C1CCCC1)C2C1CCCC1,True,,1,4,,,,,,
CHEMBL4104819,CHEMBL4104819,agonist,high,4,4,2,CHEMBL5124853,CHEMBL5120905,EC50,Agonist activity at human A2A receptor expressed in Flp-In-CHO cells assessed as cAMP accumulation incubated for 30 mins by LANCE cAMP assay,Nc1sc(-c2ccc(C(=O)NCCCCCCNc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)c(-c2cccc(C(F)(F)F)c2)c1C(=O)c1ccccc1,XLCQNEBOQXQNGA-IYRWRCLLSA-N,CC(CCCCCCCCC1CCCC2C(C3CCCC3)CCC12)C1CCC(C2CCC(C(C)C3CCCCC3)C2C2CCCCC2)CC1,False,,1,5,,,,,,
CHEMBL3414940,CHEMBL3414940,agonist,high,4,3,2,CHEMBL3420494,CHEMBL3414438,EC50,Agonist activity at human recombinant adenosine A2A receptor transfected in CHO cells assessed as induction of adenylyl cyclase activity,CCn1nnc([C@H]2O[C@@H](n3cnc4c(NC5CC5)ncnc43)[C@H](O)[C@@H]2O)n1,DEVAFUMPTPLYOY-BQVMBELUSA-N,C1CCC(C2CCC(C3CCC4C(CC5CC5)CCCC43)C2)C1,True,,1,6,,,,,,
CHEMBL3414941,CHEMBL3414941,agonist,high,4,3,2,CHEMBL3420494,CHEMBL3414438,EC50,Agonist activity at human recombinant adenosine A2A receptor transfected in CHO cells assessed as induction of adenylyl cyclase activity,CCn1nnc([C@H]2O[C@@H](n3cnc4c(NC5CC5)nc(Cl)nc43)[C@H](O)[C@@H]2O)n1,IRRXNCFETDOCCQ-AEISUSGSSA-N,C1CCC(C2CCC(C3CCC4C(CC5CC5)CCCC43)C2)C1,True,,1,7,,,,,,
CHEMBL186113,GW-328267,agonist,high,3,3,2,CHEMBL2187058,CHEMBL2177029,EC50,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as induction of cyclic AMP production,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccccc5)nc43)[C@H](O)[C@@H]2O)n1,FLBKPDIBGNWXMT-NIQZGXKPSA-N,C1CCC(CCCC2CCC3CCC(C4CCC(C5CCCC5)C4)C3C2)CC1,False,,1,8,,,,,,
CHEMBL1087189,CHEMBL1087189,antagonist,high,2,2,2,CHEMBL2167687,CHEMBL2163234,Ki,Antagonist activity at human Adenosine receptor A2a assessed as inhibition of cAMP production,Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CN3CCCC3)ccc1C2=O,NZMLWAPHUUXPMQ-UHFFFAOYSA-N,CC1C2CCC(CC3CCCC3)CC2C2CCCC(C3CCCCC3)C12,True,,1,9,,,,,,
CHEMBL1095488,CHEMBL1095488,antagonist,high,2,2,2,CHEMBL2167687,CHEMBL2163234,Ki,Antagonist activity at human Adenosine receptor A2a assessed as inhibition of cAMP production,Nc1nc(-c2ccccc2)c2c(n1)-c1cc(OCCN3CCOCC3)ccc1C2=O,BCDASHXLAMCATI-UHFFFAOYSA-N,CC1C2CCC(CCCC3CCCCC3)CC2C2CCCC(C3CCCCC3)C12,True,,1,10,,,,,,
CHEMBL17127,SCH-58261,antagonist,high,2,2,2,CHEMBL1105453,CHEMBL1156165,Activity,Antagonist activity at human adenosine A2A receptor expressed in HEK293 cells assessed as inhibition of NECA-induced intracellular cAMP accumulation at 100 nM after 24 hrs (Rvb= 0.40 pmol/ml),Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,UTLPKQYUXOEJIL-UHFFFAOYSA-N,C1CCC(CCC2CCC3C2CCC2CC(C4CCCC4)CC23)CC1,True,,1,11,,,,,,
CHEMBL197669,ST1535,antagonist,high,2,2,2,CHEMBL2384073,CHEMBL2380258,Ki,Antagonist activity at human adenosine A2A receptor assessed as cAMP level by cell based assay,CCCCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,CYYQMAWUIRPCNW-UHFFFAOYSA-N,C1CCC(C2CC3CCCCC3C2)C1,True,,1,12,,,,,,
CHEMBL3222055,CHEMBL3222055,antagonist,high,2,2,2,CHEMBL3223903,CHEMBL3217453,Ki,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Nc1nc(-c2ccco2)nc2sc(CN3CCOCC3)cc12,WKCYYQAUFYIEID-UHFFFAOYSA-N,C1CCC(CC2CC3CCC(C4CCCC4)CC3C2)CC1,True,,1,13,,,,,,
