record_id,molecule_name,external_identifier,canonical_smiles,source_cohort,source_type,source_id,source_url,source_snapshot_id,source_published_at,source_retrieved_at,prior_project_visibility,source_independence_basis,priority_category,evidence_status,ingested_at
GTPDB-369,"(<i>R,S</i>)-PHPNECA",GtoPdb:369,CCNC(=O)[C@H]1O[C@H]([C@H]([C@H]1O)O)n1cnc2c1nc(C#CC(c1ccccc1)O)nc2N,GtoPdb 2026.2 human A2A,independent_curated_database,369,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=369,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-372,2-chloroadenosine,GtoPdb:372,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(Cl)nc2N,GtoPdb 2026.2 human A2A,independent_curated_database,372,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=372,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-373,2-hexynyl-NECA,GtoPdb:373,CCCCC#Cc1nc(N)c2c(n1)n(cn2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)C(=O)NCC,GtoPdb 2026.2 human A2A,independent_curated_database,373,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=373,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-374,CCPA,GtoPdb:374,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(Cl)nc2NC1CCCC1,GtoPdb 2026.2 human A2A,independent_curated_database,374,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=374,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-375,CGS 21680,GtoPdb:375,CCNC(=O)[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(NCCc1ccc(cc1)CCC(=O)O)nc2N,GtoPdb 2026.2 human A2A,independent_curated_database,375,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=375,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-377,NECA,GtoPdb:377,CCNC(=O)[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N,GtoPdb 2026.2 human A2A,independent_curated_database,377,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=377,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-378,PENECA,GtoPdb:378,CCNC(=O)[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(C#Cc1ccccc1)nc2N,GtoPdb 2026.2 human A2A,independent_curated_database,378,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=378,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-380,cyclopentyladenosine,GtoPdb:380,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NC1CCCC1,GtoPdb 2026.2 human A2A,independent_curated_database,380,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=380,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-384,CGS 15943,GtoPdb:384,Clc1ccc2c(c1)c1nc(nn1c(n2)N)c1ccco1,GtoPdb 2026.2 human A2A,independent_curated_database,384,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=384,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-386,DPCPX,GtoPdb:386,CCCn1c2nc([nH]c2c(=O)n(c1=O)CCC)C1CCCC1,GtoPdb 2026.2 human A2A,independent_curated_database,386,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=386,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
