chembl_id,molecule_name,standardized_smiles,standardized_inchikey,functional_activity_rows,unique_assays,unique_documents,representative_assay,representative_document,representative_readout,representative_description,reviewer,decision,evidence_tier,source_checked,review_notes,reviewed_at_utc
CHEMBL113142,ZM-241385,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,PWTBZOIUWZOPFT-UHFFFAOYSA-N,9,7,5,CHEMBL5616314,CHEMBL5614411,EC50,Antagonist activity at human Adenosine receptor A2a transfected in HEK293 cells co-expressing CRE-luciferase plasmid assessed as reduction in CRE promoter activity by measuring effective concentration incubated for 18 hrs by luciferase based CRE reporter assay,Tharran,,,,,
CHEMBL477,ADENOSINE,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OIRDTQYFTABQOQ-KQYNXXCUSA-N,5,5,4,CHEMBL5099262,CHEMBL5096218,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO-K1 cells assessed as inhibition of forskolin-induced cAMP accumulation incubated for 30 mins by LANCE ultra assay,Tharran,,,,,
CHEMBL4297184,CIFORADENANT,Cc1ccc(-c2nc(N)nc3c2nnn3Cc2cccc(CO[C@H]3CCOC3)n2)o1,KURQKNMKCGYWRJ-HNNXBMFYSA-N,8,8,3,CHEMBL4701023,CHEMBL4699449,IC50,Antagonist activity at human adenosine 2A receptor expressed in HEK293 cells assessed as inhibition of NECA-induced cAMP by immunoassay,Tharran,,,,,
CHEMBL5203469,CHEMBL5203469,CCCCC#Cc1nc(N)c2nc(-c3cccs3)n([C@@H]3OC[C@@H](O)[C@H]3O)c2n1,MUHXGASCCALSAJ-PRIMNGNOSA-N,5,5,2,CHEMBL5130200,CHEMBL5126612,EC50,Antagonist activity at wild type human A2AAR expressed in CHO cells assessed as inhibition of CGS21680-induced cAMP accumulation preincubated for 20 mins followed by CGS21680 addition and measured after 20 mins by by alpha screen assay,Tharran,,,,,
CHEMBL4104819,CHEMBL4104819,Nc1sc(-c2ccc(C(=O)NCCCCCCNc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)c(-c2cccc(C(F)(F)F)c2)c1C(=O)c1ccccc1,XLCQNEBOQXQNGA-IYRWRCLLSA-N,4,4,2,CHEMBL5124853,CHEMBL5120905,EC50,Agonist activity at human A2A receptor expressed in Flp-In-CHO cells assessed as cAMP accumulation incubated for 30 mins by LANCE cAMP assay,Tharran,,,,,
CHEMBL3414940,CHEMBL3414940,CCn1nnc([C@H]2O[C@@H](n3cnc4c(NC5CC5)ncnc43)[C@H](O)[C@@H]2O)n1,DEVAFUMPTPLYOY-BQVMBELUSA-N,4,3,2,CHEMBL3420494,CHEMBL3414438,EC50,Agonist activity at human recombinant adenosine A2A receptor transfected in CHO cells assessed as induction of adenylyl cyclase activity,Tharran,,,,,
CHEMBL3414941,CHEMBL3414941,CCn1nnc([C@H]2O[C@@H](n3cnc4c(NC5CC5)nc(Cl)nc43)[C@H](O)[C@@H]2O)n1,IRRXNCFETDOCCQ-AEISUSGSSA-N,4,3,2,CHEMBL3420494,CHEMBL3414438,EC50,Agonist activity at human recombinant adenosine A2A receptor transfected in CHO cells assessed as induction of adenylyl cyclase activity,Tharran,,,,,
CHEMBL186113,GW-328267,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccccc5)nc43)[C@H](O)[C@@H]2O)n1,FLBKPDIBGNWXMT-NIQZGXKPSA-N,3,3,2,CHEMBL2187058,CHEMBL2177029,EC50,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as induction of cyclic AMP production,Tharran,,,,,
CHEMBL1087189,CHEMBL1087189,Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CN3CCCC3)ccc1C2=O,NZMLWAPHUUXPMQ-UHFFFAOYSA-N,2,2,2,CHEMBL2167687,CHEMBL2163234,Ki,Antagonist activity at human Adenosine receptor A2a assessed as inhibition of cAMP production,Tharran,,,,,
CHEMBL1095488,CHEMBL1095488,Nc1nc(-c2ccccc2)c2c(n1)-c1cc(OCCN3CCOCC3)ccc1C2=O,BCDASHXLAMCATI-UHFFFAOYSA-N,2,2,2,CHEMBL2167687,CHEMBL2163234,Ki,Antagonist activity at human Adenosine receptor A2a assessed as inhibition of cAMP production,Tharran,,,,,
CHEMBL17127,SCH-58261,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,UTLPKQYUXOEJIL-UHFFFAOYSA-N,2,2,2,CHEMBL1105453,CHEMBL1156165,Activity,Antagonist activity at human adenosine A2A receptor expressed in HEK293 cells assessed as inhibition of NECA-induced intracellular cAMP accumulation at 100 nM after 24 hrs (Rvb= 0.40 pmol/ml),Tharran,,,,,
CHEMBL197669,ST1535,CCCCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,CYYQMAWUIRPCNW-UHFFFAOYSA-N,2,2,2,CHEMBL2384073,CHEMBL2380258,Ki,Antagonist activity at human adenosine A2A receptor assessed as cAMP level by cell based assay,Tharran,,,,,
CHEMBL3222055,CHEMBL3222055,Nc1nc(-c2ccco2)nc2sc(CN3CCOCC3)cc12,WKCYYQAUFYIEID-UHFFFAOYSA-N,2,2,2,CHEMBL3223903,CHEMBL3217453,Ki,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Tharran,,,,,
