molecule_id,molecule_name,label,binary_label,evidence_tier,label_status,human_validation_claimed,training_eligible,partition,standardized_smiles,standardized_inchikey,murcko_scaffold_smiles,generic_murcko_scaffold_smiles,molecular_weight,clogp,h_bond_donors,h_bond_acceptors,rotatable_bonds,tpsa,heavy_atom_count,qed,x_inactive_5NM4_affinity_kcal_mol,x_active_like_2YDO_affinity_kcal_mol,m_affinity_kcal_mol,d_affinity_kcal_mol,d_affinity_per_heavy_atom,inactive_5NM4_affinity_sd,active_like_2YDO_affinity_sd,inactive_5NM4_valid_seeds,active_like_2YDO_valid_seeds,inactive_5NM4_median_cnnscore,active_like_2YDO_median_cnnscore,m_cnnscore,d_cnnscore,inactive_5NM4_median_cnnaffinity_pk,active_like_2YDO_median_cnnaffinity_pk,m_cnnaffinity_pk,d_cnnaffinity_pk,inactive_5NM4_cnnscore_flagged_seeds,active_like_2YDO_cnnscore_flagged_seeds,cnnscore_flagged_seeds_total,cnnscore_soft_flag_any,pose_quality_status,holdout_evaluation_eligible,human_approval_required,evidence_source_url,evidence_decision
CHEMBL1076503,CHEMBL1076503,antagonist,0,tier_1,computationally_adjudicated_functional,False,True,development,O=C(NC1CC1)c1nc(NCc2cccnc2)nc2ccsc12,DJXXCPVDTMEZQZ-UHFFFAOYSA-N,O=C(NC1CC1)c1nc(NCc2cccnc2)nc2ccsc12,CC(CC1CC1)C1CC(CCC2CCCCC2)CC2CCCC21,325.397,2.5906,2,6,5,79.8,23,0.753544,-7.3474,-7.7702,-7.5588,-0.4228,-0.018383,0.1356,0.1293,3,3,0.6463,0.7813,0.7138,0.135,7.123,7.512,7.3175,0.389,0,0,0,False,pass,False,False,https://doi.org/10.1016/j.bmcl.2009.08.040,accept_antagonist
CHEMBL1076504,CHEMBL1076504,antagonist,0,tier_1,computationally_adjudicated_functional,False,True,development,CC(C)NC(=O)c1nc(NCc2cccnc2)nc2ccsc12,CDUCLUZYLNLKKW-UHFFFAOYSA-N,c1cncc(CNc2ncc3sccc3n2)c1,C1CCC(CCC2CCC3CCCC3C2)CC1,327.413,2.8366,2,6,5,79.8,23,0.753074,-7.6773,-7.8113,-7.7443,-0.134,-0.005826,0.6413,0.3798,3,3,0.6684,0.8188,0.7436,0.1504,7.1606,7.6751,7.4178,0.5145,0,0,0,False,pass,False,False,https://doi.org/10.1016/j.bmcl.2009.08.040,accept_antagonist
CHEMBL1077749,CHEMBL1077749,antagonist,0,tier_1,computationally_adjudicated_functional,False,True,development,Cc1nc(C(=O)c2ccc(C)s2)c2sccc2n1,OUKKULWZHJJUCO-UHFFFAOYSA-N,O=C(c1cccs1)c1ncnc2ccsc12,CC(C1CCCC1)C1CCCC2CCCC21,274.37,3.6006,0,5,2,42.85,18,0.670509,-6.8151,-7.6263,-7.2207,-0.8112,-0.045067,0.6642,0.0183,3,3,0.8319,0.9031,0.8675,0.0712,6.7743,7.261,7.0176,0.4867,0,0,0,False,pass,False,False,https://doi.org/10.1016/j.bmcl.2009.08.040,accept_antagonist
CHEMBL1077902,CHEMBL1077902,antagonist,0,tier_1,computationally_adjudicated_functional,False,True,development,Cc1ccc(C(=O)c2nc(NCc3ccncn3)nc3ccsc23)s1,SFYCKRAOKBZQQD-UHFFFAOYSA-N,O=C(c1cccs1)c1nc(NCc2ccncn2)nc2ccsc12,CC(C1CCCC1)C1CC(CCC2CCCCC2)CC2CCCC21,367.459,3.6943,1,8,5,80.66,25,0.541893,-7.794,-7.1261,-7.46,0.6679,0.026716,0.0838,0.2722,3,3,0.6965,0.8239,0.7602,0.1274,7.5067,8.0478,7.7773,0.5411,0,0,0,False,pass,False,False,https://doi.org/10.1016/j.bmcl.2009.08.040,accept_antagonist
CHEMBL1078001,CHEMBL1078001,antagonist,0,tier_1,computationally_adjudicated_functional,False,True,development,Cc1ccc(C(=O)c2nc(NC(=O)c3cccnc3)nc3ccsc23)s1,RMNYIORRJFTYKB-UHFFFAOYSA-N,O=C(Nc1nc(C(=O)c2cccs2)c2sccc2n1)c1cccnc1,CC(CC1CC2CCCC2C(C(C)C2CCCC2)C1)C1CCCCC1,380.454,3.9395,1,7,4,84.84,26,0.54217,-7.1387,-8.7392,-7.939,-1.6005,-0.061558,1.4126,0.007,3,3,0.7564,0.7921,0.7742,0.0357,7.6405,7.626,7.6333,-0.0145,0,0,0,False,pass,False,False,https://doi.org/10.1016/j.bmcl.2009.08.040,accept_antagonist
CHEMBL1078085,CHEMBL1078085,antagonist,0,tier_1,computationally_adjudicated_functional,False,True,development,Cc1ccc(C(=O)c2nc(NCCc3ccccn3)nc3ccsc23)s1,WBCAKXYDAUCZDG-UHFFFAOYSA-N,O=C(c1cccs1)c1nc(NCCc2ccccn2)nc2ccsc12,CC(C1CCCC1)C1CC(CCCC2CCCCC2)CC2CCCC21,380.498,4.3418,1,7,6,67.77,26,0.50402,-8.3897,-8.2976,-8.3437,0.0921,0.003542,0.1523,0.4477,3,3,0.9004,0.8779,0.8891,-0.0225,7.7671,8.1348,7.951,0.3677,0,0,0,False,pass,False,False,https://doi.org/10.1016/j.bmcl.2009.08.040,accept_antagonist
CHEMBL1079141,CHEMBL1079141,antagonist,0,tier_1,computationally_adjudicated_functional,False,True,development,O=C(c1ccccc1)c1nc(NCc2cccnc2)nc2ccsc12,NJLNJHCKQVRQDL-UHFFFAOYSA-N,O=C(c1ccccc1)c1nc(NCc2cccnc2)nc2ccsc12,CC(C1CCCCC1)C1CC(CCC2CCCCC2)CC2CCCC21,346.415,3.9294,1,6,5,67.77,25,0.554645,-8.9342,-8.9475,-8.9409,-0.0133,-0.000532,0.0398,0.0191,3,3,0.7368,0.8788,0.8078,0.142,7.1717,7.6968,7.4343,0.5251,0,0,0,False,pass,False,False,https://doi.org/10.1016/j.bmcl.2009.08.040,accept_antagonist
CHEMBL1082063,CHEMBL1082063,antagonist,0,tier_1,computationally_adjudicated_functional,False,True,development,O=C(NC1CCCCC1)c1nc(NCc2cccnc2)nc2ccsc12,JTMNJBCPWGVLEV-UHFFFAOYSA-N,O=C(NC1CCCCC1)c1nc(NCc2cccnc2)nc2ccsc12,CC(CC1CCCCC1)C1CC(CCC2CCCCC2)CC2CCCC21,367.478,3.7609,2,6,5,79.8,26,0.717636,-8.1723,-8.8566,-8.5145,-0.6843,-0.026319,0.8127,0.0564,3,3,0.6424,0.7817,0.712,0.1393,7.3978,7.7505,7.5741,0.3527,0,0,0,False,pass,False,False,https://doi.org/10.1016/j.bmcl.2009.08.040,accept_antagonist
CHEMBL1087185,CHEMBL1087185,antagonist,0,tier_1,computationally_adjudicated_functional,False,True,development,CN1CCN(C(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,WEDKBAZTBXZYBK-UHFFFAOYSA-N,O=C1c2ccc(C(=O)N3CCNCC3)cc2-c2ncnc(-c3ccccc3)c21,CC(C1CCCCC1)C1CCC2C(C)C3C(C4CCCCC4)CCCC3C2C1,399.454,2.3248,1,6,2,92.42,30,0.556167,-10.2018,-12.0027,-11.1023,-1.8009,-0.06003,2.915,0.1819,3,3,0.6838,0.767,0.7254,0.0832,7.5119,7.9584,7.7351,0.4465,0,0,0,False,pass,False,False,https://doi.org/10.1021/jm201640m,accept_antagonist
CHEMBL1087189,CHEMBL1087189,antagonist,0,tier_1,computationally_adjudicated_functional,False,True,development,Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CN3CCCC3)ccc1C2=O,NZMLWAPHUUXPMQ-UHFFFAOYSA-N,O=C1c2ccc(CN3CCCC3)cc2-c2ncnc(-c3ccccc3)c21,CC1C2CCC(CC3CCCC3)CC2C2CCCC(C3CCCCC3)C12,356.429,3.533,1,5,3,72.11,27,0.607863,-11.6795,-11.6716,-11.6756,0.0079,0.000293,0.0147,0.1941,3,3,0.834,0.8647,0.8494,0.0307,7.6925,7.6299,7.6612,-0.0626,0,0,0,False,pass,False,False,https://doi.org/10.1021/jm201640m,accept_antagonist
