record_id,molecule_name,source_id,source_url,database_readout_status,primary_reference_count,primary_pmids,evidence_review_status
GTPDB-392,MRS1041,392,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=392,unresolved,1,8691424,needs_primary_paper_review
GTPDB-393,MRS1042,393,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=393,unresolved,1,8691424,needs_primary_paper_review
GTPDB-395,MRS1065,395,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=395,unresolved,1,8691424,needs_primary_paper_review
GTPDB-396,MRS1066,396,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=396,unresolved,1,8691424,needs_primary_paper_review
GTPDB-397,MRS1084,397,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=397,unresolved,1,8691424,needs_primary_paper_review
GTPDB-398,MRS1086,398,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=398,unresolved,1,8691424,needs_primary_paper_review
GTPDB-399,MRS1093,399,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=399,unresolved,1,8691424,needs_primary_paper_review
GTPDB-400,MRS1132,400,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=400,unresolved,1,8691424,needs_primary_paper_review
GTPDB-401,MRS923,401,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=401,unresolved,1,8691424,needs_primary_paper_review
GTPDB-402,MRS928,402,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=402,unresolved,1,8691424,needs_primary_paper_review
GTPDB-409,flavone,409,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=409,unresolved,1,8691424,needs_primary_paper_review
GTPDB-410,galangin,410,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=410,unresolved,1,8691424,needs_primary_paper_review
GTPDB-411,morin,411,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=411,unresolved,1,8691424,needs_primary_paper_review
GTPDB-412,sakuranetin,412,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=412,unresolved,1,8691424,needs_primary_paper_review
GTPDB-419,CV-1674,419,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=419,unresolved,1,9920286,needs_primary_paper_review
GTPDB-420,CV-1808,420,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=420,unresolved,2,9179373;9920286,needs_primary_paper_review
GTPDB-428,KF 17837S,428,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=428,unresolved,1,9179373,needs_primary_paper_review
GTPDB-429,MRS1088,429,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=429,unresolved,1,8691424,needs_primary_paper_review
GTPDB-433,visnagin,433,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=433,unresolved,1,8691424,needs_primary_paper_review
GTPDB-455,[<sup>3</sup>H]ZM 241385,455,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=455,unresolved,2,10927024;11164377,needs_primary_paper_review
GTPDB-459,MRE 3008F20,459,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=459,unresolved,3,10779381;16219300;16518376,needs_primary_paper_review
GTPDB-470,MRS1191,470,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=470,unresolved,0,,needs_traceable_primary_source
GTPDB-474,MRS1523,474,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=474,unresolved,0,,needs_traceable_primary_source
GTPDB-3281,derenofylline,3281,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=3281,unresolved,1,17558436,needs_primary_paper_review
GTPDB-3285,PSB36,3285,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=3285,unresolved,1,16902942,needs_primary_paper_review
GTPDB-3289,BAY 60-6583,3289,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=3289,unresolved,1,17632123,needs_primary_paper_review
GTPDB-4252,mefloquine,4252,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=4252,binding_only,1,14663021,reject_database_description_binding_only
GTPDB-5590,TCPA,5590,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5590,unresolved,1,12672250,needs_primary_paper_review
GTPDB-5593,GS9667,5593,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5593,unresolved,1,19012505,needs_primary_paper_review
GTPDB-5601,MRS3558,5601,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5601,unresolved,1,16518376,needs_primary_paper_review
GTPDB-5604,rolofylline,5604,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5604,unresolved,2,14532289;17125264,needs_primary_paper_review
GTPDB-5606,FK-453,5606,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5606,unresolved,1,16518376,needs_primary_paper_review
GTPDB-5607,LUF5981,5607,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5607,unresolved,1,17300165,needs_primary_paper_review
GTPDB-5610,MSX-2,5610,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5610,unresolved,1,10669571,needs_primary_paper_review
GTPDB-5615,CVT-6883,5615,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5615,unresolved,1,18321039,needs_primary_paper_review
GTPDB-5616,ATL802,5616,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5616,unresolved,1,10737749,needs_primary_paper_review
GTPDB-5617,LAS38096,5617,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5617,unresolved,2,17469811;20137946,needs_primary_paper_review
GTPDB-5618,KF26777,5618,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5618,unresolved,1,12063073,needs_primary_paper_review
GTPDB-5619,PSB-10,5619,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5619,unresolved,1,12517430,needs_primary_paper_review
GTPDB-5620,PSB-11,5620,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5620,unresolved,1,12517430,needs_primary_paper_review
GTPDB-5622,MRS5151,5622,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5622,unresolved,1,18424135,needs_primary_paper_review
GTPDB-10351,LUF7602,10351,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=10351,binding_only,1,30869893,reject_database_description_binding_only
