record_id,molecule_name,external_identifier,canonical_smiles,source_cohort,source_type,source_id,source_url,source_snapshot_id,source_published_at,source_retrieved_at,prior_project_visibility,source_independence_basis,priority_category,evidence_status,ingested_at,standardized_smiles,standardized_inchikey,murcko_scaffold_smiles,generic_murcko_scaffold_smiles,historical_independence_eligible,screening_reasons
GTPDB-392,MRS1041,GtoPdb:392,CCOc1cc(OCC)c2c(c1)oc(c(c2=O)OCC)c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,392,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=392,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCOc1cc(OCC)c2c(=O)c(OCC)c(-c3ccccc3)oc2c1,YMQQPRDUZIXHBJ-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2ccccc12,CC1CC(C2CCCCC2)CC2CCCCC12,True,
GTPDB-393,MRS1042,GtoPdb:393,CCCOc1cc(OCCC)c2c(c1)oc(c(c2=O)OCCC)c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,393,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=393,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCCOc1cc(OCCC)c2c(=O)c(OCCC)c(-c3ccccc3)oc2c1,ABZJCSJCNNCZRY-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2ccccc12,CC1CC(C2CCCCC2)CC2CCCCC12,True,
GTPDB-395,MRS1065,GtoPdb:395,COc1c2c(=O)cc(oc2cc2c1cco2)/C=C/c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,395,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=395,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,COc1c2ccoc2cc2oc(/C=C/c3ccccc3)cc(=O)c12,HTBFQFPYNPJVLO-BQYQJAHWSA-N,O=c1cc(/C=C/c2ccccc2)oc2cc3occc3cc12,CC1CC(CCC2CCCCC2)CC2CC3CCCC3CC12,True,
GTPDB-396,MRS1066,GtoPdb:396,CCOc1c2c(=O)cc(oc2cc2c1cco2)/C=C/c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,396,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=396,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCOc1c2ccoc2cc2oc(/C=C/c3ccccc3)cc(=O)c12,TZRUAYHMQMKKLT-CMDGGOBGSA-N,O=c1cc(/C=C/c2ccccc2)oc2cc3occc3cc12,CC1CC(CCC2CCCCC2)CC2CC3CCCC3CC12,True,
GTPDB-397,MRS1084,GtoPdb:397,CCCOc1c2c(=O)cc(oc2cc2c1cco2)/C=C/c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,397,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=397,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCCOc1c2ccoc2cc2oc(/C=C/c3ccccc3)cc(=O)c12,RCPBGBWHKGZPFO-CMDGGOBGSA-N,O=c1cc(/C=C/c2ccccc2)oc2cc3occc3cc12,CC1CC(CCC2CCCCC2)CC2CC3CCCC3CC12,True,
GTPDB-398,MRS1086,GtoPdb:398,CCOc1ccc(c(c1)OCC)c1oc2cc(OCC)cc(c2c(=O)c1OCC)OCC,GtoPdb 2026.2 human A2A,independent_curated_database,398,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=398,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCOc1ccc(-c2oc3cc(OCC)cc(OCC)c3c(=O)c2OCC)c(OCC)c1,JVGSHXMDRPGOQM-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2ccccc12,CC1CC(C2CCCCC2)CC2CCCCC12,True,
GTPDB-399,MRS1093,GtoPdb:399,CCOc1cc(O)c2c(c1)oc(c(c2=O)OCC)c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,399,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=399,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCOc1cc(O)c2c(=O)c(OCC)c(-c3ccccc3)oc2c1,ZPEWNDIPSPULBP-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2ccccc12,CC1CC(C2CCCCC2)CC2CCCCC12,True,
GTPDB-400,MRS1132,GtoPdb:400,O=c1c(Cl)c(oc2c1cccc2)c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,400,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=400,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,O=c1c(Cl)c(-c2ccccc2)oc2ccccc12,FHXDSQYFCFWKAW-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2ccccc12,CC1CC(C2CCCCC2)CC2CCCCC12,True,
GTPDB-401,MRS923,GtoPdb:401,COc1ccc(c(c1)OC)c1oc2cc(OC)cc(c2c(=O)c1OC)OC,GtoPdb 2026.2 human A2A,independent_curated_database,401,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=401,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,COc1ccc(-c2oc3cc(OC)cc(OC)c3c(=O)c2OC)c(OC)c1,KPJGABLCRGWDRB-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2ccccc12,CC1CC(C2CCCCC2)CC2CCCCC12,True,
GTPDB-402,MRS928,GtoPdb:402,COc1cc(OC)c2c(c1)oc(c(c2=O)OC)c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,402,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=402,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,COc1cc(OC)c2c(=O)c(OC)c(-c3ccccc3)oc2c1,CBTHKWVPSIGKMI-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2ccccc12,CC1CC(C2CCCCC2)CC2CCCCC12,True,
