record_id,molecule_name,external_identifier,canonical_smiles,source_cohort,source_type,source_id,source_url,source_snapshot_id,source_published_at,source_retrieved_at,prior_project_visibility,source_independence_basis,priority_category,evidence_status,ingested_at,standardized_smiles,standardized_inchikey,murcko_scaffold_smiles,generic_murcko_scaffold_smiles,historical_independence_eligible,screening_reasons
GTPDB-369,"(<i>R,S</i>)-PHPNECA",GtoPdb:369,CCNC(=O)[C@H]1O[C@H]([C@H]([C@H]1O)O)n1cnc2c1nc(C#CC(c1ccccc1)O)nc2N,GtoPdb 2026.2 human A2A,independent_curated_database,369,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=369,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#CC(O)c4ccccc4)nc32)[C@@H](O)[C@H]1O,WOAZCBPWCCREDO-CERUIEQFSA-N,C(#Cc1ncc2ncn([C@H]3CCCO3)c2n1)Cc1ccccc1,C1CCC(CCCC2CCC3CCC(C4CCCC4)C3C2)CC1,False,historical_generic_murcko_scaffold_overlap
GTPDB-372,2-chloroadenosine,GtoPdb:372,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(Cl)nc2N,GtoPdb 2026.2 human A2A,independent_curated_database,372,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=372,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,BIXYYZIIJIXVFW-UUOKFMHZSA-N,c1ncc2ncn([C@H]3CCCO3)c2n1,C1CCC2C(C1)CCC2C1CCCC1,False,historical_generic_murcko_scaffold_overlap
GTPDB-373,2-hexynyl-NECA,GtoPdb:373,CCCCC#Cc1nc(N)c2c(n1)n(cn2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)C(=O)NCC,GtoPdb 2026.2 human A2A,independent_curated_database,373,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=373,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@H](C(=O)NCC)[C@@H](O)[C@H]3O)c2n1,FDEACFAXFCKCHZ-MOROJQBDSA-N,c1ncc2ncn([C@H]3CCCO3)c2n1,C1CCC2C(C1)CCC2C1CCCC1,False,structure_present_in_prefreeze_source_pool;historical_generic_murcko_scaffold_overlap
GTPDB-374,CCPA,GtoPdb:374,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(Cl)nc2NC1CCCC1,GtoPdb 2026.2 human A2A,independent_curated_database,374,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=374,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,XSMYYYQVWPZWIZ-IDTAVKCVSA-N,c1nc(NC2CCCC2)c2ncn([C@H]3CCCO3)c2n1,C1CCC(CC2CCCC3C(C4CCCC4)CCC23)C1,False,structure_present_in_prefreeze_source_pool;historical_generic_murcko_scaffold_overlap
GTPDB-375,CGS 21680,GtoPdb:375,CCNC(=O)[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(NCCc1ccc(cc1)CCC(=O)O)nc2N,GtoPdb 2026.2 human A2A,independent_curated_database,375,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=375,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,PAOANWZGLPPROA-RQXXJAGISA-N,c1ccc(CCNc2ncc3ncn([C@H]4CCCO4)c3n2)cc1,C1CCC(CCCC2CCC3CCC(C4CCCC4)C3C2)CC1,False,structure_present_in_prefreeze_source_pool;historical_generic_murcko_scaffold_overlap
GTPDB-377,NECA,GtoPdb:377,CCNC(=O)[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N,GtoPdb 2026.2 human A2A,independent_curated_database,377,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=377,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,JADDQZYHOWSFJD-FLNNQWSLSA-N,c1ncc2ncn([C@H]3CCCO3)c2n1,C1CCC2C(C1)CCC2C1CCCC1,False,structure_present_in_prefreeze_source_pool;historical_generic_murcko_scaffold_overlap
GTPDB-378,PENECA,GtoPdb:378,CCNC(=O)[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(C#Cc1ccccc1)nc2N,GtoPdb 2026.2 human A2A,independent_curated_database,378,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=378,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#Cc4ccccc4)nc32)[C@H](O)[C@@H]1O,SWXXHYTUMIMRFO-KSVNGYGVSA-N,C(#Cc1ncc2ncn([C@H]3CCCO3)c2n1)c1ccccc1,C1CCC(CCC2CCC3CCC(C4CCCC4)C3C2)CC1,False,structure_present_in_prefreeze_source_pool
GTPDB-380,cyclopentyladenosine,GtoPdb:380,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NC1CCCC1,GtoPdb 2026.2 human A2A,independent_curated_database,380,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=380,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)ncnc32)[C@H](O)[C@@H]1O,SQMWSBKSHWARHU-SDBHATRESA-N,c1nc(NC2CCCC2)c2ncn([C@H]3CCCO3)c2n1,C1CCC(CC2CCCC3C(C4CCCC4)CCC23)C1,False,historical_generic_murcko_scaffold_overlap
GTPDB-384,CGS 15943,GtoPdb:384,Clc1ccc2c(c1)c1nc(nn1c(n2)N)c1ccco1,GtoPdb 2026.2 human A2A,independent_curated_database,384,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=384,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,MSJODEOZODDVGW-UHFFFAOYSA-N,c1coc(-c2nc3c4ccccc4ncn3n2)c1,C1CCC(C2CC3CCC4CCCCC4C3C2)C1,False,structure_present_in_prefreeze_source_pool
GTPDB-386,DPCPX,GtoPdb:386,CCCn1c2nc([nH]c2c(=O)n(c1=O)CCC)C1CCCC1,GtoPdb 2026.2 human A2A,independent_curated_database,386,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=386,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,FFBDFADSZUINTG-UHFFFAOYSA-N,O=c1[nH]c(=O)c2[nH]c(C3CCCC3)nc2[nH]1,CC1CC(C)C2CC(C3CCCC3)CC2C1,False,structure_present_in_prefreeze_source_pool;historical_inchikey_overlap;historical_standardized_structure_overlap;historical_generic_murcko_scaffold_overlap
