candidate_id,bindingdb_monomer_id,standardized_smiles,standardized_inchikey,generic_murcko_scaffold_smiles,doi,pmid,sealed_exact_ki_measurement_count,prior_exact_structure_overlap,model_selection_generic_scaffold_overlap,primary_evidence_review_status,intake_status,quarantine_reasons
BDB-106370,106370,Nc1nc(-c2ccccc2)nc2c1nnn2Cc1ccccc1F,NXRBUSNWTZFORH-UHFFFAOYSA-N,C1CCC(CC2CCC3CCC(C4CCCCC4)CC32)CC1,10.1111/cbdd.12131,23480235,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-106371,106371,O=C(Nc1nc(-c2ccccc2)nc2c1nnn2Cc1ccccc1F)C1CC1,DPURLSYXRHWHCQ-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC2C(CC3CCCCC3)CCC12)C1CC1,10.1111/cbdd.12131,23480235,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-106372,106372,O=C(Nc1nc(-c2ccccc2)nc2c1nnn2Cc1ccccc1F)C1CCC1,LWLKNQAHAAQNLO-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC2C(CC3CCCCC3)CCC12)C1CCC1,10.1111/cbdd.12131,23480235,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-106373,106373,O=C(Nc1nc(-c2ccccc2)nc2c1nnn2Cc1ccccc1F)C1CCCC1,ZPZBOPWHTRROBI-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC2C(CC3CCCCC3)CCC12)C1CCCC1,10.1111/cbdd.12131,23480235,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-106374,106374,O=C(Nc1nc(-c2ccccc2)nc2c1nnn2Cc1ccccc1F)C1CCCCC1,YAHWVOBXPRTPPC-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC2C(CC3CCCCC3)CCC12)C1CCCCC1,10.1111/cbdd.12131,23480235,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-106375,106375,O=C(Nc1nc(-c2ccccc2)nc2c1nnn2Cc1ccccc1F)c1ccco1,QIBAMLNBYLUZGF-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC2C(CC3CCCCC3)CCC12)C1CCCC1,10.1111/cbdd.12131,23480235,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-106376,106376,O=C(Nc1nc(-c2ccccc2)nc2c1nnn2Cc1ccccc1F)c1ccoc1,UVKGHWQWPDGTAX-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC2C(CC3CCCCC3)CCC12)C1CCCC1,10.1111/cbdd.12131,23480235,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-106377,106377,O=C(Nc1nc(-c2ccccc2)nc2c1nnn2Cc1ccccc1F)c1cccc(Cl)c1,BJYUJGUEQJNAPL-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC2C(CC3CCCCC3)CCC12)C1CCCCC1,10.1111/cbdd.12131,23480235,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-106378,106378,O=C(Nc1nc(-c2ccccc2)nc2c1nnn2Cc1ccccc1F)c1cccc(F)c1,QIFCCJOIOQJXMS-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC2C(CC3CCCCC3)CCC12)C1CCCCC1,10.1111/cbdd.12131,23480235,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
BDB-106380,106380,O=C(Nc1nc(-c2ccccc2)nc2c1nnn2Cc1ccccc1F)c1cccc([N+](=O)[O-])c1,QCAXQYNYBXEQHI-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC2C(CC3CCCCC3)CCC12)C1CCCCC1,10.1111/cbdd.12131,23480235,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,
