candidate_id,bindingdb_monomer_id,standardized_smiles,standardized_inchikey,generic_murcko_scaffold_smiles,doi,pmid,sealed_exact_ki_measurement_count,prior_exact_structure_overlap,model_selection_generic_scaffold_overlap,primary_evidence_review_status,intake_status,quarantine_reasons
BDB-100268,100268,C[C@@H]1CC(n2cnc3c(NC4C5(CC5)C45CC5)nc(Cl)nc32)C(O)C1O,SMSFMZWLRUNMDM-NVGMAVIKSA-N,C1CCC(C2CCC3C(CC4C5(CC5)C45CC5)CCCC23)C1,,,1,False,False,pending_dual_review,quarantined_before_evidence_review,primary_publication_identifier_missing
BDB-100270,100270,C[C@@H]1CC(n2cnc3c(NC(C4CC4)C4CC4)ncnc32)C(O)C1O,AJJAFQJKXYYWNQ-VOXATMROSA-N,C1CCC(C2CCC3C(CC(C4CC4)C4CC4)CCCC23)C1,,,1,False,False,pending_dual_review,quarantined_before_evidence_review,primary_publication_identifier_missing
BDB-104773,104773,C[C@@H]1CC(n2cnc3c(NC(C4CCC4)C4CCC4)ncnc32)C(O)C1O,IJCLRSPQXRHBHE-CZSYGMEJSA-N,C1CC(C(CC2CCCC3C(C4CCCC4)CCC23)C2CCC2)C1,,,1,False,False,pending_dual_review,quarantined_before_evidence_review,primary_publication_identifier_missing
BDB-104785,104785,OC[C@H]1O[C@@H](n2cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc32)[C@@H](O)C1O,HAMCUNFMNVTSNL-TVHOOIBVSA-N,C1CCC(C2CCC3C(CC(C4CC4)C4CC4)CCCC23)C1,,,1,False,False,pending_dual_review,quarantined_before_evidence_review,primary_publication_identifier_missing
BDB-104786,104786,OC[C@H]1O[C@@H](n2cnc3c(NC4C5(CC5)C45CC5)nc(Cl)nc32)[C@@H](O)C1O,FVQGJKHEUJWFHN-CXOKJZQJSA-N,C1CCC(C2CCC3C(CC4C5(CC5)C45CC5)CCCC23)C1,,,1,False,False,pending_dual_review,quarantined_before_evidence_review,primary_publication_identifier_missing
BDB-104787,104787,OC[C@H]1O[C@@H](n2cnc3c(NC(C4CCC4)C4CCC4)nc(Cl)nc32)[C@@H](O)C1O,WRZNTZAVIFSIPG-VMUDKSKOSA-N,C1CC(C(CC2CCCC3C(C4CCCC4)CCC23)C2CCC2)C1,,,1,False,False,pending_dual_review,quarantined_before_evidence_review,primary_publication_identifier_missing
BDB-104795,104795,OC[C@H]1O[C@@H](n2cnc3c(NC(C4CC4)C4CC4)ncnc32)[C@@H](O)C1O,RAVOWCMWQXNPDU-WYNAFHSXSA-N,C1CCC(C2CCC3C(CC(C4CC4)C4CC4)CCCC23)C1,,,1,False,False,pending_dual_review,quarantined_before_evidence_review,primary_publication_identifier_missing
BDB-104797,104797,OC[C@H]1O[C@@H](n2cnc3c(NC(C4CCC4)C4CCC4)ncnc32)[C@@H](O)C1O,VQFKOPZALUTGKJ-OVMZWLKVSA-N,C1CC(C(CC2CCCC3C(C4CCCC4)CCC23)C2CCC2)C1,,,1,False,False,pending_dual_review,quarantined_before_evidence_review,primary_publication_identifier_missing
BDB-10847,10847,Cn1c(=O)c2[nH]cnc2n(C)c1=O,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CC1CC(C)C2CCCC2C1,10.1007/pl00005131|10.1016/j.bmc.2008.04.039|10.1016/j.bmc.2010.01.072|10.1016/j.bmc.2010.02.014|10.1016/j.bmcl.2004.11.044|10.1021/jm00044a018|10.1021/jm00062a010|10.1021/jm000936i|10.1021/jm00118a032|10.1021/jm00126a014|10.1021/jm031136l|10.1021/jm0504149|10.1021/jm051268+|10.1021/jm060373w|10.1021/jm070123v|10.1021/jm8014876|10.1021/jm900413e,10496952|10956220|15214785|15664822|16335918|16759111|16789747|17665891|18468446|19301821|19569717|20188574|20202853|2724296|3172141|34695776|8071944|8496906|9459566,22,True,False,pending_dual_review,quarantined_before_evidence_review,exact_structure_previously_visible
BDB-10849,10849,Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,CC1CC(C)C2CCCC2C1,10.1016/j.bmc.2008.01.041|10.1016/j.bmc.2009.05.036|10.1016/j.bmc.2013.09.044|10.1016/j.bmc.2016.09.003|10.1016/j.bmc.2019.02.004|10.1016/j.ejmech.2011.05.023|10.1016/j.ejmech.2019.111879|10.1021/acs.jmedchem.0c00237|10.1021/acs.jmedchem.7b01627|10.1021/jm00044a018|10.1021/jm00126a014|10.1021/jm2003798|10.1021/jm4011669,18262425|19481943|21661720|21664729|24139167|24164628|2724296|27658798|29681156|30808606|31780082|32667814|34695776|8071944,15,True,False,pending_dual_review,quarantined_before_evidence_review,exact_structure_previously_visible
BDB-128295,128295,Nc1nc(-n2cccn2)nc(-n2cccn2)c1Br,ATFXVNUWQOXRRU-UHFFFAOYSA-N,C1CCC(C2CCCC(C3CCCC3)C2)C1,10.1021/acs.jmedchem.0c00237,32667814|34695776,4,True,True,pending_dual_review,quarantined_before_evidence_review,exact_structure_previously_visible|generic_scaffold_overlaps_model_selection
BDB-128296,128296,Nc1nc(-n2cccn2)nc(N2CCCC2)c1Br,RZNYFNPNRHLKTG-UHFFFAOYSA-N,C1CCC(C2CCCC(C3CCCC3)C2)C1,,,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-128297,128297,Nc1nc(-n2cccn2)nc(NC2CCCC2)c1Br,CQMIUDXRCZBOOY-UHFFFAOYSA-N,C1CCC(CC2CCCC(C3CCCC3)C2)C1,,,1,False,False,pending_dual_review,quarantined_before_evidence_review,primary_publication_identifier_missing
BDB-128298,128298,Nc1nc(-n2cccn2)nc(N2CCCCC2)c1Br,JJVSQYWMMZXTGT-UHFFFAOYSA-N,C1CCC(C2CCCC(C3CCCC3)C2)CC1,,,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-128299,128299,Nc1nc(-n2cccn2)nc(NC2CC2)c1Br,DNWLPKMXZITGRO-UHFFFAOYSA-N,C1CCC(C2CCCC(CC3CC3)C2)C1,,,2,True,False,pending_dual_review,quarantined_before_evidence_review,exact_structure_previously_visible|primary_publication_identifier_missing
BDB-128300,128300,Nc1nc(-n2cccn2)nc(N2CCC2)c1Br,BBAXFDLDZBPZRN-UHFFFAOYSA-N,C1CCC(C2CCCC(C3CCC3)C2)C1,,,1,False,False,pending_dual_review,quarantined_before_evidence_review,primary_publication_identifier_missing
BDB-128301,128301,Nc1nc(-n2cccn2)nc(NC2CCC2)c1Br,VUEAJDKKLYSRME-UHFFFAOYSA-N,C1CC(CC2CCCC(C3CCCC3)C2)C1,,,1,False,False,pending_dual_review,quarantined_before_evidence_review,primary_publication_identifier_missing
BDB-128302,128302,CN(C)c1nc(-n2cccn2)nc(N)c1Br,XFEJMGUHELBLFD-UHFFFAOYSA-N,C1CCC(C2CCCC2)CC1,,,2,True,True,pending_dual_review,quarantined_before_evidence_review,exact_structure_previously_visible|generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-128303,128303,COC[C@H]1CCCN1c1nc(-n2cccn2)nc(N)c1Br,OYRRDHILGFQVLW-SECBINFHSA-N,C1CCC(C2CCCC(C3CCCC3)C2)C1,,,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-128304,128304,CNc1nc(-n2cccn2)nc(N)c1Br,HCOMUGNFBLXSBR-UHFFFAOYSA-N,C1CCC(C2CCCC2)CC1,,,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-128305,128305,Nc1nc(-n2cccn2)nc(NCC2CC2)c1Br,NVURDYXPWZOTGE-UHFFFAOYSA-N,C1CCC(C2CCCC(CCC3CC3)C2)C1,,,1,False,False,pending_dual_review,quarantined_before_evidence_review,primary_publication_identifier_missing
BDB-128306,128306,CCSc1nc(-n2cccn2)nc(N)c1Br,VXYGLBSNBUIORN-UHFFFAOYSA-N,C1CCC(C2CCCC2)CC1,,,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-128307,128307,CC(C)Sc1nc(-n2cccn2)nc(N)c1Br,SFZCZMOHXMUHDZ-UHFFFAOYSA-N,C1CCC(C2CCCC2)CC1,,,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-128308,128308,Nc1nc(-n2cccn2)nc(OCC(F)(F)F)c1Br,FWJUNYDCSATLOX-UHFFFAOYSA-N,C1CCC(C2CCCC2)CC1,,,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-128309,128309,Nc1nc(-n2cccn2)nc(-n2cccn2)c1Cl,NSIBZHWOMMEPMS-UHFFFAOYSA-N,C1CCC(C2CCCC(C3CCCC3)C2)C1,,,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-128310,128310,N#Cc1c(N)nc(-n2cccn2)nc1-n1cccn1,IRLWKWMOWQSPSY-UHFFFAOYSA-N,C1CCC(C2CCCC(C3CCCC3)C2)C1,,,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-128311,128311,Nc1nc(-c2nccs2)nc(-c2nccs2)c1Br,HPPADDHIDIGPDJ-UHFFFAOYSA-N,C1CCC(C2CCCC(C3CCCC3)C2)C1,,,2,True,True,pending_dual_review,quarantined_before_evidence_review,exact_structure_previously_visible|generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-14487,14487,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C1CCC2C(C1)CCC2C1CCCC1,10.1016/j.ejmech.2019.06.050|10.1021/jm201461q,22104008|31255928|35859869,3,True,True,pending_dual_review,quarantined_before_evidence_review,exact_structure_previously_visible|generic_scaffold_overlaps_model_selection
BDB-152526,152526,C=CC(=O)Nc1cc2ccccc2oc1=O,OLVMBBCCJJVATF-UHFFFAOYSA-N,CC1CCC2CCCCC2C1,10.1016/j.bioorg.2015.05.008,26042529,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-156361,156361,OC1CS[C@@H](n2cnc3c(NCc4cccc(F)c4)nc(Cl)nc32)[C@H]1O,YIHCHMWFJKTKDU-PMPKIWSKSA-N,C1CCC(CCC2CCCC3C(C4CCCC4)CCC23)CC1,,,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-156362,156362,OC1CS[C@@H](n2cnc3c(NCc4cccc(Cl)c4)nc(Cl)nc32)[C@H]1O,JQUBXCDDRXAMLF-PMPKIWSKSA-N,C1CCC(CCC2CCCC3C(C4CCCC4)CCC23)CC1,,,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-156363,156363,OC1CS[C@@H](n2cnc3c(NCc4cccc(Br)c4)nc(Cl)nc32)[C@H]1O,HMQUFUXKXUSFFV-PMPKIWSKSA-N,C1CCC(CCC2CCCC3C(C4CCCC4)CCC23)CC1,,,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-156364,156364,OC1CS[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H]1O,QMJFSSNSVVHFPD-PMPKIWSKSA-N,C1CCC(CCC2CCCC3C(C4CCCC4)CCC23)CC1,,,2,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-156365,156365,OC1CS[C@@H](n2cnc3c(NCc4ccccc4Cl)nc(Cl)nc32)[C@H]1O,XUIYCLQDMOOVSQ-PMPKIWSKSA-N,C1CCC(CCC2CCCC3C(C4CCCC4)CCC23)CC1,,,2,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-156366,156366,COc1ccc(Cl)cc1CNc1nc(Cl)nc2c1ncn2[C@@H]1SCC(O)[C@@H]1O,LJLMHEFJMXWPHX-ALWGXXCGSA-N,C1CCC(CCC2CCCC3C(C4CCCC4)CCC23)CC1,,,2,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
BDB-156367,156367,COc1ccccc1CNc1nc(Cl)nc2c1ncn2[C@@H]1SCC(O)[C@@H]1O,IXGMDIBYUXOUSR-ALWGXXCGSA-N,C1CCC(CCC2CCCC3C(C4CCCC4)CCC23)CC1,,,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection|primary_publication_identifier_missing
