system_id,tier,candidate_id,receptor_pdb_id,receptor_state,ligand,standardized_smiles,source_pose_required,source_pose_path,input_status,input_sha256,replicas,production_ns_per_replica
5NM4_ZMA_native,A,,5NM4,inactive,ZM241385,,native_deposited_pose,data/raw/5NM4.pdb,present_unprepared,698e483fd4513540e2348c07b36488b7f687a4539c06735e4d25aa351e225d83,3,100
5G53_NECA_miniGs_native,A,,5G53,active_G_protein_coupled,NECA,,native_deposited_pose,data/raw/5G53.pdb,present_unprepared,105a55361d60a5fbf74f772ce80dca3c2b2bb848bd0004c8e9019f130962e6fd,3,100
LIT25-RL-C5_5NM4,B,LIT25-RL-C5,5NM4,inactive,RL study compound 5,Nc1nc(-c2ccc(O)cc2)c2cc(F)ccc2n1,predeclared_retained_gnina_pose,outputs/v1.4/docking/LIT25-RL-C5/5NM4/retained_pose.sdf,present_unprepared,eef82e4467fe43ce48c8a49dfb12d6736809d99e03c51027317e19d7233b3aa0,3,100
LIT25-RL-C5_2YDO,B,LIT25-RL-C5,2YDO,active_like,RL study compound 5,Nc1nc(-c2ccc(O)cc2)c2cc(F)ccc2n1,predeclared_retained_gnina_pose,outputs/v1.4/docking/LIT25-RL-C5/2YDO/retained_pose.sdf,present_unprepared,4c83f630af89935a0757ba91c7e60ece4ac058407c440a6f35b1e0e5aea65a5d,3,100
LIT25-RL-C7_5NM4,B,LIT25-RL-C7,5NM4,inactive,RL study compound 7,Nc1nc(-c2cccc(-n3ccnc3)n2)nc(-c2ccco2)n1,predeclared_retained_gnina_pose,outputs/v1.4/docking/LIT25-RL-C7/5NM4/retained_pose.sdf,present_unprepared,6b420e87e04ab119b58397408b35d7d506071bcfc62d0352459ea7a447351c34,3,100
LIT25-RL-C7_2YDO,B,LIT25-RL-C7,2YDO,active_like,RL study compound 7,Nc1nc(-c2cccc(-n3ccnc3)n2)nc(-c2ccco2)n1,predeclared_retained_gnina_pose,outputs/v1.4/docking/LIT25-RL-C7/2YDO/retained_pose.sdf,present_unprepared,75e9cad3a1e9e90f8a0920aaa8d5169010269752b02aeaad242ff34621254db5,3,100
LIT25-RL-C9_5NM4,B,LIT25-RL-C9,5NM4,inactive,RL study compound 9,Nc1nc(-c2ccco2)nc2c1ccn2-c1ccncc1,predeclared_retained_gnina_pose,outputs/v1.4/docking/LIT25-RL-C9/5NM4/retained_pose.sdf,present_unprepared,b658fe15e11501aa691fedb3119391d445f5c4b09cb553fab938104d72f85991,3,100
LIT25-RL-C9_2YDO,B,LIT25-RL-C9,2YDO,active_like,RL study compound 9,Nc1nc(-c2ccco2)nc2c1ccn2-c1ccncc1,predeclared_retained_gnina_pose,outputs/v1.4/docking/LIT25-RL-C9/2YDO/retained_pose.sdf,present_unprepared,5456dd456a4e4a0274291b19c8d410845cb2f1ead3ef3e9cd0de7afd27b041de,3,100
LIT25-MET-PGD2_5NM4,B,LIT25-MET-PGD2,5NM4,inactive,prostaglandin D2,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,predeclared_retained_gnina_pose,outputs/v1.4/docking/LIT25-MET-PGD2/5NM4/retained_pose.sdf,present_unprepared,cb4ed5dd1f12a71a52ebc90585c2789af30066b3f1f9731e7d3dfcf9873b6b46,3,100
LIT25-MET-PGD2_2YDO,B,LIT25-MET-PGD2,2YDO,active_like,prostaglandin D2,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,predeclared_retained_gnina_pose,outputs/v1.4/docking/LIT25-MET-PGD2/2YDO/retained_pose.sdf,present_unprepared,ab2f616cd8212db94ccbc834fd7234db1167b104db20587a03ba89034d775cf2,3,100
