index,input_name,gaff2_name,element
1,C,C,C
2,C,C1,C
3,C,C2,C
4,C,C3,C
5,C,C4,C
6,C,C5,C
7,O,O,O
8,C,C6,C
9,C,C7,C
10,C,C8,C
11,C,C9,C
12,O,O1,O
13,C,C10,C
14,C,C11,C
15,O,O2,O
16,C,C12,C
17,C,C13,C
18,C,C14,C
19,C,C15,C
20,C,C16,C
21,C,C17,C
22,C,C18,C
23,C,C19,C
24,O,O3,O
25,O,O4,O
26,H,H,H
27,H,H1,H
28,H,H2,H
29,H,H3,H
30,H,H4,H
31,H,H5,H
32,H,H6,H
33,H,H7,H
34,H,H8,H
35,H,H9,H
36,H,H10,H
37,H,H11,H
38,H,H12,H
39,H,H13,H
40,H,H14,H
41,H,H15,H
42,H,H16,H
43,H,H17,H
44,H,H18,H
45,H,H19,H
46,H,H20,H
47,H,H21,H
48,H,H22,H
49,H,H23,H
50,H,H24,H
51,H,H25,H
52,H,H26,H
53,H,H27,H
54,H,H28,H
55,H,H29,H
56,H,H30,H
