review_record_id,candidate_id,standardized_inchikey,generic_murcko_scaffold_smiles,scaffold_member_count,scaffold_composition,evidence_quality,pass_1_status,source_prediction_status,model_id,prediction_pbind_ki,interval_lower_90,interval_upper_90,threshold_pbind_ki,threshold_provenance_status,interval_eligibility,applicability_status,nearest_neighbor_similarity,descriptor_distance,deterministic_review_eligibility,eligibility_reasons,human_disposition_status,human_decision,human_reviewer,human_notes
URQ-fa1f9e89da5ce556,BDB-106375,QIBAMLNBYLUZGF-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC2C(CC3CCCCC3)CCC12)C1CCCC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-5c05337b9b66e54d,BDB-14390,BNRNXUUZRGQAQC-UHFFFAOYSA-N,CC1CC(C2CCCC(C(C)(C)C3CCCCC3)C2)CC2CCCC12,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-a64bcc9a27183b01,BDB-175385,CQMZWYQNQJMCCO-UHFFFAOYSA-N,CC(CCCC1CCCCC1)CCC1CCCC(C2CC3CC(C)CC(C)C3C2)C1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-0cba89f83ae38461,BDB-175399,IDGFGLTVKLOCMJ-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC(CCC(C)C4CCCCCC4)C3)CC2C1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-c90010dff090f260,BDB-175402,UFDSXJSHQYVRHF-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC(CCC(C)C4CCCC4)C3)CC2C1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-00d50770e8f0f14b,BDB-21199,MJCNLEGNWBNHCX-UHFFFAOYSA-N,CC(CC1CCCCCC1)CC1CC(C2CCCC2)CC(C2CCCC2)C1,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-779d9e7939cf18e1,BDB-21212,FVYCZVOQAJZLBF-SFHVURJKSA-N,CC(CCC1CCCC1)CC1CC(C2CCCC2)CC(C2CCCC2)C1,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-9902fdd5ecd6d7f6,BDB-21217,HQNVISKJTIKRQJ-UHFFFAOYSA-N,C1CCC2CC(C3CC4CCCCC4C3)CCC2C1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-04e97d205d5adfe9,BDB-26250,FKWNFEDFTOOVQH-UHFFFAOYSA-N,C1CCC(C2CCCC(C3CCCC(C4CCCC4)C3)C2)C1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-707818d9f4b2b921,BDB-35803,HKDRLLSZDIGQIK-UHFFFAOYSA-N,CC(CCC1CCCCC1)C1CCCCC1,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
